,PUNUGULU,MIRCHI,ALOO BAJJI,PAKODI,CORN SAMOSA,NUGGETS,FRENCH FRIES,MASALA VADA,DAL VADA,PAROTA CHICKEN,CHICKEN BIRYANI,EGG BIRIYANI,EGG PAROTA,EGG CHAPATHI,MEALS,CHOLE POORI,CHAPATHI VEG,PAROTA VEG,GOBI RICE,VEG PULAV,VEG FRIED RICE,TOMATO RICE,JEERA RICE,VEG MANCHURIA,VADA,BONDA,POORI,MASALA DOSA,ONION DOSA,UTHAPPAM,PLAIN DOSA,UPMA,COFFEE,LEMON TEA,HORLICKS,BOOST,BADAM MILK,ROSE MILK,MASALA TEA,HOT CHOCO,TEA,IDLY,CHAPATHI CHICKEN,cluster
0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1
1,5.0,4.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,5.0,5.0,4.0,3.0,4.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,3
2,4.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,1.0,4.0,1.0,2.0,2.0,1
3,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1
4,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1
5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,5.0,4.0,2.0,2.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,2.0,2.0,3
6,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,2
7,4.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,2.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,1.0,4.0,3.0,3.0,3.0,5.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,2
8,5.0,2.0,2.0,2.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,2.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,2.0,2.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,3.0,4.0,2
9,3.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3
10,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,5.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1
11,3.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,4.0,1.0,3.0,4.0,2.0,3.0,2.0,1
